id,company,branch,role,interview_type,difficulty,topic,question,answer
511,Cognizant,CSE,AI Engineer,Technical,Medium,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
512,Analog Devices,ECE,Embedded Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
513,NXP,ECE,VLSI Engineer,Technical,Easy,Analog Electronics,What is feedback?,Feeds output back to input.
514,Samsung,ECE,FPGA Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
515,Siemens,ECE,VLSI Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
516,Cisco,CSE,Software Engineer,Technical,Easy,SQL,What is JOIN?,Combines rows from multiple tables.
517,NVIDIA,CSE,AI Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
518,NXP,ECE,Embedded Engineer,Technical,Medium,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
519,Adobe,CSE,Data Engineer,Coding,Easy,DSA,Reverse a linked list.,Iteratively or recursively reverse pointers.
520,NVIDIA,ECE,VLSI Engineer,Technical,Easy,VHDL,What is an entity?,Defines module interface.
521,Adobe,CSE,AI Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
522,NVIDIA,ECE,Hardware Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
523,Oracle,CSE,Data Engineer,Technical,Easy,System Design,What is caching?,Stores frequently accessed data.
524,Bosch,ECE,FPGA Engineer,Technical,Easy,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
525,Accenture,CSE,Software Engineer,Technical,Medium,System Design,What is load balancing?,Distributes traffic across servers.
526,HCL,CSE,ML Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
527,Intel,ECE,Electronics Engineer,Technical,Medium,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
528,Texas Instruments,ECE,Electronics Engineer,Technical,Medium,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
529,Analog Devices,ECE,FPGA Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
530,Adobe,CSE,Data Engineer,Technical,Medium,Deep Learning,What is CNN?,Convolutional Neural Network.
531,Siemens,ECE,VLSI Engineer,HR,Hard,HR,Why should we hire you?,Highlight relevant strengths.
532,Analog Devices,ECE,Embedded Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
533,Samsung,ECE,Embedded Engineer,Technical,Easy,FPGA,What is FPGA?,Programmable logic device.
534,NXP,ECE,Embedded Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
535,STMicroelectronics,ECE,Hardware Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
536,STMicroelectronics,ECE,Hardware Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
537,Adobe,CSE,Frontend Engineer,Technical,Easy,Java,Explain method overloading.,Same method name with different parameters.
538,NXP,ECE,Electronics Engineer,Technical,Easy,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
539,Apple,CSE,AI Engineer,Coding,Medium,DSA,What is a stack?,A LIFO data structure.
540,Amazon,CSE,Frontend Engineer,Technical,Medium,Java,Explain method overloading.,Same method name with different parameters.
541,Texas Instruments,ECE,Hardware Engineer,Technical,Easy,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
542,Cisco,ECE,Hardware Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
543,Infosys,CSE,ML Engineer,Technical,Medium,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
544,Cisco,ECE,VLSI Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
545,Microsoft,CSE,Software Engineer,Technical,Easy,System Design,What is load balancing?,Distributes traffic across servers.
546,Infineon,ECE,VLSI Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
547,Infosys,CSE,Backend Engineer,Technical,Easy,Machine Learning,What is overfitting?,Model memorizes training data.
548,Intel,ECE,VLSI Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
549,Capgemini,CSE,Backend Engineer,Technical,Medium,DBMS,What is normalization?,Reduces redundancy in databases.
550,STMicroelectronics,ECE,FPGA Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
551,Intel,ECE,Electronics Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
552,NXP,ECE,VLSI Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
553,Wipro,CSE,Frontend Engineer,Technical,Medium,JavaScript,What is closure?,Function with preserved lexical scope.
554,Intel,CSE,Frontend Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
555,Analog Devices,ECE,FPGA Engineer,Technical,Easy,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
556,PhonePe,CSE,Data Engineer,Technical,Hard,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
557,Flipkart,CSE,Software Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
558,Google,CSE,Backend Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
559,Capgemini,CSE,Software Engineer,Technical,Easy,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
560,TCS,CSE,Data Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
561,Intel,CSE,Data Engineer,Technical,Medium,Node.js,What is npm?,Node package manager.
562,HCL,CSE,Backend Engineer,Technical,Hard,Deep Learning,What is gradient descent?,Optimization algorithm.
563,Cisco,ECE,Embedded Engineer,Technical,Easy,VHDL,What is architecture?,Defines implementation.
564,Intel,ECE,Hardware Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
565,Adobe,CSE,ML Engineer,Technical,Hard,Computer Networks,What is DNS?,Translates domain names to IP addresses.
566,Cognizant,CSE,Data Engineer,Technical,Medium,System Design,What is caching?,Stores frequently accessed data.
567,Infineon,ECE,Hardware Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
568,Texas Instruments,ECE,Embedded Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
569,HCL,CSE,Frontend Engineer,Technical,Medium,SQL,What is JOIN?,Combines rows from multiple tables.
570,Analog Devices,ECE,VLSI Engineer,Technical,Easy,VHDL,What is architecture?,Defines implementation.
571,Analog Devices,ECE,Electronics Engineer,Technical,Medium,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
572,Cisco,CSE,ML Engineer,Technical,Hard,OOP,Explain abstraction.,Hide implementation details and expose essentials.
573,Samsung,ECE,Embedded Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
574,STMicroelectronics,ECE,Embedded Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
575,Intel,ECE,FPGA Engineer,Technical,Easy,FPGA,What is FPGA?,Programmable logic device.
576,Paytm,CSE,Data Engineer,Technical,Hard,Node.js,What is npm?,Node package manager.
577,HCL,CSE,ML Engineer,Technical,Hard,Machine Learning,What is overfitting?,Model memorizes training data.
578,Accenture,CSE,Frontend Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
579,Cisco,CSE,Software Engineer,Technical,Easy,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
580,Apple,CSE,ML Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
581,Analog Devices,ECE,FPGA Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
582,Texas Instruments,ECE,Hardware Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
583,NVIDIA,ECE,FPGA Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
584,Flipkart,CSE,AI Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
585,Oracle,CSE,Software Engineer,Technical,Medium,Computer Networks,What is DNS?,Translates domain names to IP addresses.
586,Cisco,CSE,Backend Engineer,Technical,Hard,Computer Networks,What is DNS?,Translates domain names to IP addresses.
587,HCL,CSE,AI Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
588,Microsoft,CSE,Software Engineer,Technical,Medium,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
589,Bosch,ECE,Embedded Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
590,Wipro,CSE,Frontend Engineer,Technical,Medium,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
591,Qualcomm,ECE,Embedded Engineer,Technical,Hard,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
592,NXP,ECE,VLSI Engineer,Technical,Medium,VLSI,Setup vs hold time?,Timing constraints.
593,Apple,CSE,AI Engineer,Aptitude,Medium,Aptitude,What is 25% of 200?,50
594,Oracle,CSE,Data Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
595,Infineon,ECE,FPGA Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
596,NXP,ECE,VLSI Engineer,Technical,Medium,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
597,Infosys,CSE,Backend Engineer,Technical,Hard,Machine Learning,What is overfitting?,Model memorizes training data.
598,Cisco,ECE,VLSI Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
599,Cisco,ECE,Embedded Engineer,Technical,Medium,VHDL,What is architecture?,Defines implementation.
600,Wipro,CSE,AI Engineer,Technical,Easy,Node.js,What is Express?,A Node.js web framework.
601,Flipkart,CSE,AI Engineer,Technical,Hard,System Design,What is load balancing?,Distributes traffic across servers.
602,Infineon,ECE,VLSI Engineer,Technical,Medium,VHDL,What is an entity?,Defines module interface.
603,IBM,CSE,Frontend Engineer,Technical,Easy,React,What are React hooks?,Functions for state and lifecycle in functional components.
604,Intel,ECE,Electronics Engineer,Technical,Hard,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
605,Cisco,CSE,Software Engineer,Technical,Easy,Deep Learning,What is gradient descent?,Optimization algorithm.
606,Analog Devices,ECE,Electronics Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
607,Accenture,CSE,Data Engineer,Technical,Medium,System Design,What is caching?,Stores frequently accessed data.
608,Cisco,ECE,Embedded Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
609,Capgemini,CSE,Backend Engineer,Technical,Hard,OOP,What is polymorphism?,Ability of an object to take many forms.
610,NXP,ECE,VLSI Engineer,Technical,Medium,VHDL,What is an entity?,Defines module interface.
611,Paytm,CSE,Backend Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
612,Texas Instruments,ECE,VLSI Engineer,Technical,Easy,Signals,Energy vs power signal?,Classification by energy/power.
613,Siemens,ECE,VLSI Engineer,Technical,Hard,Analog Electronics,What is feedback?,Feeds output back to input.
614,NVIDIA,ECE,Electronics Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
615,Infineon,ECE,Embedded Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
616,Wipro,CSE,ML Engineer,Technical,Hard,Machine Learning,What is overfitting?,Model memorizes training data.
617,TCS,CSE,Backend Engineer,Technical,Hard,OOP,Explain abstraction.,Hide implementation details and expose essentials.
618,HCL,CSE,Data Engineer,Coding,Hard,DSA,What is a stack?,A LIFO data structure.
619,NVIDIA,CSE,ML Engineer,Technical,Easy,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
620,Adobe,CSE,Backend Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
621,Siemens,ECE,FPGA Engineer,Technical,Hard,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
622,IBM,CSE,ML Engineer,Technical,Easy,Computer Networks,What is DNS?,Translates domain names to IP addresses.
623,Siemens,ECE,VLSI Engineer,Aptitude,Medium,Aptitude,What is 25% of 200?,50
624,Siemens,ECE,FPGA Engineer,Technical,Medium,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
625,IBM,CSE,Frontend Engineer,Technical,Medium,React,What are React hooks?,Functions for state and lifecycle in functional components.
626,Cisco,ECE,Hardware Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
627,Analog Devices,ECE,FPGA Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
628,NVIDIA,CSE,Data Engineer,Technical,Medium,Java,Explain method overloading.,Same method name with different parameters.
629,Analog Devices,ECE,Hardware Engineer,Technical,Medium,VHDL,What is an entity?,Defines module interface.
630,TCS,CSE,AI Engineer,Technical,Easy,DBMS,What is normalization?,Reduces redundancy in databases.
631,Analog Devices,ECE,FPGA Engineer,Technical,Medium,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
632,Cisco,ECE,VLSI Engineer,Technical,Easy,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
633,HCL,CSE,ML Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
634,Qualcomm,ECE,Electronics Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
635,Analog Devices,ECE,Electronics Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
636,Samsung,ECE,VLSI Engineer,Technical,Easy,Signals,Energy vs power signal?,Classification by energy/power.
637,NVIDIA,ECE,Electronics Engineer,Technical,Easy,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
638,NXP,ECE,Electronics Engineer,Technical,Medium,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
639,Intel,ECE,Hardware Engineer,Technical,Hard,VHDL,What is architecture?,Defines implementation.
640,Qualcomm,ECE,Embedded Engineer,Technical,Hard,VHDL,What is architecture?,Defines implementation.
641,NXP,ECE,Embedded Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
642,Bosch,ECE,VLSI Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
643,Paytm,CSE,ML Engineer,Technical,Easy,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
644,Bosch,ECE,Embedded Engineer,Technical,Medium,Signals,What is Fourier Transform?,Converts time to frequency domain.
645,Siemens,ECE,Hardware Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
646,Cisco,CSE,Software Engineer,Coding,Hard,DSA,Explain binary search.,Searches a sorted array in O(log n).
647,Intel,ECE,Electronics Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
648,STMicroelectronics,ECE,VLSI Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
649,Cisco,CSE,Software Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
650,Capgemini,CSE,Software Engineer,Technical,Medium,Node.js,What is npm?,Node package manager.
651,Analog Devices,ECE,VLSI Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
652,Siemens,ECE,Hardware Engineer,Technical,Medium,Embedded C,What is UART?,Serial communication protocol.
653,TCS,CSE,Data Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
654,Intel,ECE,FPGA Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
655,Siemens,ECE,Embedded Engineer,Technical,Medium,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
656,STMicroelectronics,ECE,Electronics Engineer,Technical,Medium,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
657,Intel,CSE,ML Engineer,Technical,Hard,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
658,Cisco,ECE,FPGA Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
659,Flipkart,CSE,Frontend Engineer,Technical,Hard,SQL,What is JOIN?,Combines rows from multiple tables.
660,Wipro,CSE,Frontend Engineer,Technical,Easy,DBMS,What is normalization?,Reduces redundancy in databases.
661,Accenture,CSE,ML Engineer,Technical,Hard,React,What is JSX?,JavaScript XML syntax.
662,Paytm,CSE,Backend Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
663,Cisco,ECE,FPGA Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
664,Microsoft,CSE,Backend Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
665,Wipro,CSE,Software Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
666,Analog Devices,ECE,VLSI Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
667,Infosys,CSE,Data Engineer,Technical,Easy,Java,Explain method overloading.,Same method name with different parameters.
668,Adobe,CSE,Software Engineer,Technical,Medium,React,What is JSX?,JavaScript XML syntax.
669,NVIDIA,CSE,Frontend Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
670,Cognizant,CSE,Data Engineer,Technical,Hard,SQL,What is JOIN?,Combines rows from multiple tables.
671,Qualcomm,ECE,Embedded Engineer,Technical,Medium,VLSI,Setup vs hold time?,Timing constraints.
672,Accenture,CSE,Backend Engineer,Technical,Medium,Node.js,What is npm?,Node package manager.
673,Google,CSE,AI Engineer,Technical,Medium,Deep Learning,What is CNN?,Convolutional Neural Network.
674,Analog Devices,ECE,VLSI Engineer,Technical,Hard,DSP,What is sampling theorem?,Sample at least twice highest frequency.
675,Cisco,ECE,Electronics Engineer,Technical,Easy,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
676,Flipkart,CSE,Data Engineer,Technical,Hard,DBMS,What is a primary key?,A unique identifier for a row.
677,NXP,ECE,Hardware Engineer,Aptitude,Medium,Aptitude,What is 25% of 200?,50
678,Wipro,CSE,AI Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
679,Siemens,ECE,VLSI Engineer,Technical,Easy,VLSI,What is CMOS?,Complementary MOS technology.
680,Intel,ECE,Embedded Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
681,Cognizant,CSE,Data Engineer,Technical,Hard,Node.js,What is npm?,Node package manager.
682,Cisco,ECE,FPGA Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
683,Intel,ECE,VLSI Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
684,Qualcomm,ECE,Hardware Engineer,Technical,Medium,Analog Electronics,What is feedback?,Feeds output back to input.
685,NVIDIA,CSE,Frontend Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
686,Cisco,ECE,VLSI Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
687,STMicroelectronics,ECE,FPGA Engineer,Technical,Hard,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
688,Cognizant,CSE,Frontend Engineer,Technical,Medium,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
689,Bosch,ECE,Hardware Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
690,Google,CSE,Frontend Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
691,Bosch,ECE,VLSI Engineer,Technical,Hard,Signals,Energy vs power signal?,Classification by energy/power.
692,Microsoft,CSE,Backend Engineer,Technical,Medium,DBMS,What is normalization?,Reduces redundancy in databases.
693,PhonePe,CSE,Data Engineer,Technical,Hard,Deep Learning,What is gradient descent?,Optimization algorithm.
694,Bosch,ECE,Electronics Engineer,Technical,Medium,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
695,NXP,ECE,Embedded Engineer,Technical,Medium,Embedded C,What is UART?,Serial communication protocol.
696,Amazon,CSE,Frontend Engineer,Technical,Hard,DBMS,What is normalization?,Reduces redundancy in databases.
697,NXP,ECE,Hardware Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
698,Microsoft,CSE,Backend Engineer,Technical,Easy,System Design,What is load balancing?,Distributes traffic across servers.
699,Cisco,ECE,Embedded Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
700,Google,CSE,ML Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
701,Accenture,CSE,Frontend Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
702,STMicroelectronics,ECE,Hardware Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
703,Infosys,CSE,Software Engineer,Technical,Medium,Python,What are decorators?,Functions that modify other functions.
704,IBM,CSE,Software Engineer,Technical,Medium,Machine Learning,What is overfitting?,Model memorizes training data.
705,Oracle,CSE,Data Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
706,HCL,CSE,Data Engineer,Coding,Medium,DSA,Explain binary search.,Searches a sorted array in O(log n).
707,Cisco,ECE,FPGA Engineer,Technical,Medium,Signals,Energy vs power signal?,Classification by energy/power.
708,TCS,CSE,Data Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
709,Oracle,CSE,AI Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
710,IBM,CSE,ML Engineer,Technical,Easy,Python,What are decorators?,Functions that modify other functions.
711,Qualcomm,ECE,Electronics Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
712,STMicroelectronics,ECE,Hardware Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
713,Capgemini,CSE,AI Engineer,Technical,Easy,Node.js,What is npm?,Node package manager.
714,Infineon,ECE,VLSI Engineer,Technical,Medium,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
715,Texas Instruments,ECE,FPGA Engineer,Technical,Medium,Signals,Energy vs power signal?,Classification by energy/power.
716,Qualcomm,ECE,Electronics Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
717,Intel,CSE,Backend Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
718,Analog Devices,ECE,Electronics Engineer,Technical,Medium,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
719,Intel,ECE,FPGA Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
720,Bosch,ECE,Embedded Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
721,Siemens,ECE,Electronics Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
722,Analog Devices,ECE,Embedded Engineer,HR,Hard,HR,Why should we hire you?,Highlight relevant strengths.
723,Infineon,ECE,VLSI Engineer,Technical,Hard,VLSI,What is CMOS?,Complementary MOS technology.
724,PhonePe,CSE,Data Engineer,Coding,Hard,DSA,What is a stack?,A LIFO data structure.
725,Bosch,ECE,FPGA Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
726,Flipkart,CSE,Backend Engineer,Technical,Hard,Deep Learning,What is CNN?,Convolutional Neural Network.
727,STMicroelectronics,ECE,Embedded Engineer,Technical,Medium,Signals,What is Fourier Transform?,Converts time to frequency domain.
728,IBM,CSE,Backend Engineer,Technical,Hard,DBMS,What is normalization?,Reduces redundancy in databases.
729,Siemens,ECE,Embedded Engineer,Technical,Easy,Embedded C,volatile keyword?,Prevents compiler optimization.
730,Flipkart,CSE,ML Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
731,Texas Instruments,ECE,Embedded Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
732,Cisco,ECE,FPGA Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
733,Texas Instruments,ECE,Embedded Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
734,NVIDIA,ECE,Electronics Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
735,Accenture,CSE,Frontend Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
736,NXP,ECE,VLSI Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
737,Oracle,CSE,Frontend Engineer,Technical,Easy,Machine Learning,What is overfitting?,Model memorizes training data.
738,IBM,CSE,Data Engineer,Technical,Hard,SQL,What is JOIN?,Combines rows from multiple tables.
739,Infineon,ECE,FPGA Engineer,Aptitude,Medium,Aptitude,What is 25% of 200?,50
740,Capgemini,CSE,Data Engineer,Coding,Hard,DSA,Reverse a linked list.,Iteratively or recursively reverse pointers.
741,Paytm,CSE,AI Engineer,Technical,Easy,Machine Learning,What is overfitting?,Model memorizes training data.
742,Qualcomm,ECE,Hardware Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
743,NXP,ECE,Embedded Engineer,Technical,Medium,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
744,Adobe,CSE,AI Engineer,Technical,Easy,JavaScript,What is closure?,Function with preserved lexical scope.
745,Cisco,CSE,ML Engineer,Technical,Easy,JavaScript,What is closure?,Function with preserved lexical scope.
746,Analog Devices,ECE,Embedded Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
747,Bosch,ECE,VLSI Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
748,Intel,ECE,Hardware Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
749,Paytm,CSE,Frontend Engineer,Technical,Hard,Node.js,What is Express?,A Node.js web framework.
750,Infosys,CSE,AI Engineer,Technical,Medium,Machine Learning,What is overfitting?,Model memorizes training data.
751,Infosys,CSE,Data Engineer,Technical,Medium,DBMS,What is normalization?,Reduces redundancy in databases.
752,NVIDIA,CSE,Software Engineer,Technical,Easy,DBMS,What is a primary key?,A unique identifier for a row.
753,Siemens,ECE,VLSI Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
754,Infosys,CSE,Software Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
755,NVIDIA,ECE,VLSI Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
756,Oracle,CSE,Backend Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
757,Bosch,ECE,Electronics Engineer,Technical,Easy,Signals,Energy vs power signal?,Classification by energy/power.
758,Cognizant,CSE,Data Engineer,Technical,Hard,System Design,What is load balancing?,Distributes traffic across servers.
759,Capgemini,CSE,Software Engineer,Technical,Hard,Node.js,What is Express?,A Node.js web framework.
760,Intel,ECE,Hardware Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
761,Accenture,CSE,Data Engineer,Technical,Medium,Deep Learning,What is CNN?,Convolutional Neural Network.
762,HCL,CSE,Data Engineer,Technical,Hard,System Design,What is load balancing?,Distributes traffic across servers.
763,Google,CSE,ML Engineer,Technical,Easy,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
764,Siemens,ECE,Embedded Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
765,Adobe,CSE,Frontend Engineer,Technical,Hard,System Design,What is load balancing?,Distributes traffic across servers.
766,Wipro,CSE,Software Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
767,TCS,CSE,AI Engineer,Technical,Medium,Deep Learning,What is gradient descent?,Optimization algorithm.
