Company,Role,Job Type,Eligible Branches,Minimum CGPA,Location,CTC (LPA),Stipend (Monthly INR),Required Skills,Selection Process
Infosys,Embedded Engineer,FTE,"COE,COPC,COBS",8.5,Pune,34.1,125000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Zomato,Cloud Engineer,Intern+FTE,"COE,COPC,COBS",6.0,Noida,25.4,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Embedded Engineer,Intern,B.E. All Branches,8.0,Pune,59.18,50000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Meesho,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.0,Bengaluru,44.4,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Software Development Engineer,Intern,"COE,COPC,ECE,EIC,EEC",6.0,Mumbai,41.75,25000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
EPAM,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Noida,12.67,60000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
AMD,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.0,Gurugram,40.04,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Expedia,Cybersecurity Analyst,Intern,B.E. All Branches,8.5,Hyderabad,43.84,80000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Backend Engineer,Intern+FTE,B.E. All Branches,6.5,Gurugram,48.38,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Full Stack Developer,FTE,"COE,COPC,ECE",6.0,Remote,25.33,80000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
American Express,Embedded Engineer,Intern+FTE,"COE,COPC",6.0,Hyderabad,56.39,70000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Meesho,Cybersecurity Analyst,Intern,B.E. All Branches,6.0,Hyderabad,42.13,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
BlackRock,QA Engineer,FTE,"COE,COPC,COBS",6.0,Hyderabad,18.48,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Software Development Engineer,FTE,"COE,COPC,COBS",8.5,Hyderabad,52.02,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Software Development Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.0,Remote,6.52,40000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Expedia,Data Scientist,FTE,"COE,COPC,ECE,ENC",6.5,Hyderabad,53.44,30000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",9.0,Remote,57.96,60000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Optum,QA Engineer,Intern,"COE,COPC,ECE",8.5,Bengaluru,53.85,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Backend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.5,Remote,28.47,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Cybersecurity Analyst,Intern,"COE,COPC,ECE,EIC,EEC",9.0,Pune,26.51,70000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
TCS,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",6.0,Gurugram,12.1,80000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Intel,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",9.0,Chennai,6.67,125000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Cognizant,DevOps Engineer,Intern,"COE,COPC,COBS",8.5,Noida,43.17,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
TCS,AI/ML Engineer,Intern+FTE,B.E. All Branches,8.0,Bengaluru,41.84,80000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Microsoft,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",6.0,Remote,57.86,100000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Full Stack Developer,Intern,B.E. All Branches,6.5,Mumbai,23.87,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC",9.0,Remote,10.26,100000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
EPAM,AI/ML Engineer,Intern,"COE,COPC",7.5,Mumbai,12.41,100000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Amazon,DevOps Engineer,FTE,B.E. All Branches,8.0,Noida,35.65,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Intel,QA Engineer,FTE,"COE,COPC",9.0,Noida,30.64,70000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Infosys,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",8.5,Chennai,36.25,150000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
SAP,Cloud Engineer,Intern,"COE,COPC,ECE,ENC",7.0,Gurugram,12.16,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,DevOps Engineer,Intern,"COE,COPC,ECE",7.5,Pune,26.19,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
SAP,Embedded Engineer,FTE,B.E. All Branches,6.5,Noida,44.96,30000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Meesho,Business Analyst,FTE,"COE,COPC",9.0,Mumbai,17.64,50000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Amazon,QA Engineer,Intern,"COE,COPC,COBS",7.5,Pune,51.22,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Wipro,Software Development Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.5,Pune,34.64,25000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
AMD,Cybersecurity Analyst,Intern,"COE,COPC,COBS",8.5,Chennai,15.38,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Business Analyst,Intern+FTE,"COE,COPC,ECE,ENC",7.5,Chennai,28.61,150000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Cloud Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.5,Gurugram,49.46,40000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
AMD,DevOps Engineer,Intern+FTE,"COE,COPC,ECE",6.5,Gurugram,52.48,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Siemens,AI/ML Engineer,Intern+FTE,B.E. All Branches,8.0,Chennai,55.74,40000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
SAP,Backend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.0,Mumbai,47.08,125000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Siemens,Embedded Engineer,FTE,"COE,COPC,COBS",9.0,Bengaluru,54.27,125000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Backend Engineer,Intern,"COE,COPC,ECE,EIC,EEC",6.0,Noida,7.36,40000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Frontend Engineer,Intern+FTE,"COE,COPC",8.5,Gurugram,59.11,60000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
American Express,DevOps Engineer,Intern,B.E. All Branches,9.0,Noida,7.74,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
HCLTech,QA Engineer,FTE,"COE,COPC,ECE,EIC,EEC",8.5,Bengaluru,36.31,50000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Business Analyst,Intern,"COE,COPC",8.5,Gurugram,28.49,70000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
JP Morgan Chase,Cybersecurity Analyst,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Chennai,52.92,100000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Cybersecurity Analyst,Intern+FTE,"COE,COPC,ECE,EIC,EEC",6.5,Gurugram,35.52,150000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
EPAM,Frontend Engineer,Intern+FTE,"COE,COPC,ECE",8.5,Hyderabad,59.11,30000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Software Development Engineer,FTE,"COE,COPC,ECE",6.5,Gurugram,29.14,125000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Microsoft,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE,ENC",8.0,Bengaluru,85.94,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,QA Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.0,Chennai,39.24,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Atlassian,Embedded Engineer,Intern,B.E. All Branches,6.5,Mumbai,39.3,40000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Maq Software,DevOps Engineer,Intern+FTE,"COE,COPC,ECE",8.5,Chennai,27.78,70000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Zomato,AI/ML Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,9.0,Bengaluru,21.85,150000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Meesho,QA Engineer,Intern+FTE,"COE,COPC",8.5,Chennai,24.68,50000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Backend Engineer,FTE,"COE,COPC",8.0,Chennai,26.84,125000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Capgemini,DevOps Engineer,FTE,"COE,COPC,ECE,EIC,EEC",6.5,Chennai,30.06,25000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Backend Engineer,Intern,"COE,COPC,ECE,EIC,EEC",6.0,Noida,57.2,40000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,QA Engineer,Intern,"COE,COPC,ECE",8.0,Mumbai,47.77,80000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Intel,Backend Engineer,Intern,"COE,COPC,COBS",8.5,Chennai,46.33,40000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Amazon,Backend Engineer,FTE,B.E. All Branches,6.0,Noida,9.96,40000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.0,Mumbai,26.95,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Siemens,Backend Engineer,Intern,"COE,COPC,ECE,EIC,EEC",8.0,Bengaluru,34.88,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
AMD,Backend Engineer,Intern,"COE,COPC,ECE,ENC",9.0,Gurugram,25.32,125000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",9.0,Bengaluru,21.2,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
TCS,Frontend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.0,Pune,34.81,40000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Paytm,QA Engineer,Intern,B.E. All Branches,9.0,Pune,53.9,70000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Meesho,Software Development Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.0,Hyderabad,6.27,150000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Paytm,Full Stack Developer,Intern+FTE,"COE,COPC,COBS",8.5,Pune,46.41,70000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Frontend Engineer,Intern+FTE,"COE,COPC",6.5,Bengaluru,17.92,60000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,DevOps Engineer,Intern,"COE,COPC,ECE,ENC",8.5,Hyderabad,30.91,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.0,Pune,16.66,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,QA Engineer,Intern,"COE,COPC,ECE",7.0,Remote,18.66,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
EPAM,AI/ML Engineer,Intern+FTE,B.E. All Branches,8.0,Chennai,39.28,60000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Business Analyst,Intern+FTE,"COE,COPC,ECE",8.5,Mumbai,15.11,70000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Razorpay,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.5,Chennai,13.25,70000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Data Scientist,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.0,Hyderabad,32.3,30000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Frontend Engineer,FTE,"COE,COPC,ECE,EIC,EEC",8.5,Hyderabad,54.13,50000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Dell,Backend Engineer,Intern,B.E. All Branches,8.0,Mumbai,54.17,125000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Cybersecurity Analyst,FTE,B.E. All Branches,8.0,Remote,17.49,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Intel,Frontend Engineer,FTE,"COE,COPC,ECE",7.5,Hyderabad,25.75,50000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,AI/ML Engineer,Intern+FTE,B.E. All Branches,6.5,Remote,33.12,50000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Frontend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Remote,36.58,150000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
IBM,Software Development Engineer,Intern+FTE,"COE,COPC",7.0,Chennai,17.82,100000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Software Development Engineer,FTE,"COE,COPC,COBS",7.5,Remote,42.1,125000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Amazon,Software Development Engineer,Intern,"COE,COPC,ECE,EIC,EEC",8.0,Gurugram,58.95,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
HCLTech,Data Scientist,Intern+FTE,"COE,COPC,COBS",8.5,Mumbai,37.25,150000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Accenture,Cybersecurity Analyst,FTE,"COE,COPC,COBS",6.5,Mumbai,41.28,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
IBM,AI/ML Engineer,Intern,B.E. All Branches,6.5,Remote,32.29,100000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Full Stack Developer,Intern+FTE,"COE,COPC,ECE",6.5,Pune,10.16,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Accenture,Cybersecurity Analyst,Intern+FTE,"COE,COPC,COBS",9.0,Chennai,44.73,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Dell,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.0,Pune,32.0,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Intel,Business Analyst,Intern+FTE,B.E. All Branches,8.0,Pune,7.21,25000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Uber,QA Engineer,Intern,"COE,COPC,ECE",7.0,Pune,82.9,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Business Analyst,Intern,"COE,COPC,ECE,EIC,EEC",8.5,Gurugram,38.37,150000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Oracle,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",6.5,Mumbai,30.26,100000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Frontend Engineer,FTE,"COE,COPC,ECE",8.5,Chennai,48.91,40000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Infosys,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Hyderabad,37.89,50000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Google,Full Stack Developer,Intern+FTE,B.E. All Branches,6.0,Pune,84.11,80000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
TCS,Cybersecurity Analyst,Intern,"COE,COPC",7.5,Pune,38.39,125000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",9.0,Bengaluru,50.69,80000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
AMD,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",8.0,Hyderabad,29.16,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Incedo,Frontend Engineer,Intern,"COE,COPC,ECE,ENC",8.0,Mumbai,19.74,50000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Full Stack Developer,Intern,B.E. All Branches,6.0,Mumbai,6.3,25000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Intel,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.0,Pune,43.14,70000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Incedo,QA Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.0,Gurugram,37.61,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Siemens,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",7.0,Remote,46.77,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Data Scientist,Intern+FTE,"COE,COPC,ECE,EIC,EEC",6.0,Noida,37.19,80000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
EPAM,Embedded Engineer,Intern+FTE,B.E. All Branches,7.5,Chennai,57.26,30000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Cybersecurity Analyst,Intern+FTE,"COE,COPC,COBS",8.5,Bengaluru,43.64,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Oracle,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",6.0,Gurugram,31.47,150000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",8.0,Gurugram,10.32,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
SAP,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.0,Noida,9.1,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,DevOps Engineer,Intern+FTE,B.E. All Branches,6.5,Bengaluru,21.44,25000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Accenture,Full Stack Developer,Intern,"COE,COPC,ECE,ENC",9.0,Mumbai,41.37,40000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
IBM,QA Engineer,Intern+FTE,B.E. All Branches,6.0,Hyderabad,27.34,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Oracle,DevOps Engineer,FTE,"COE,COPC,ECE,ENC",9.0,Gurugram,21.36,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Gurugram,58.01,100000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Business Analyst,Intern,B.E. All Branches,7.0,Chennai,33.34,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Meesho,DevOps Engineer,FTE,"COE,COPC,ECE,EIC,EEC",7.5,Mumbai,57.66,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Cloud Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,9.0,Bengaluru,74.24,100000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
TCS,Backend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Noida,19.92,80000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Business Analyst,Intern,"COE,COPC,ECE,EIC,EEC",9.0,Gurugram,57.59,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Data Scientist,Intern,B.E. All Branches,6.5,Remote,11.02,70000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Swiggy,AI/ML Engineer,FTE,"COE,COPC,ECE",8.5,Noida,17.8,150000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Wipro,Embedded Engineer,FTE,"COE,COPC,ECE",6.5,Noida,16.78,50000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
